"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Window","Show Context Menu","Ctrl+Shift+C","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Scroll Line Up","Esc, Z","Editing Text"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Edit","Context Information","Alt+?","In Windows"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"File","Save All","Ctrl+Shift+S","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Text Editing","Select Line End","Ctrl+Shift+E","Editing Text"
"SVN","Show Annotation...","Ctrl+Alt+A","In Windows"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Text Editing","Previous Word","Esc, B","Editing Text"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Git","Commit...","Ctrl+#","In Windows"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Navigate","Backward History","Alt+Left","In Windows"
"Views","Show View (Servers)","Ctrl+"","In Windows"
"Run/Debug","Close Rendering","Ctrl+W, Ctrl+W","In Memory View"
"Terminal view commands","Maximize Active View or Editor","Ctrl+M","Terminal Control in Focus"
"Edit","Cut","Ctrl+X","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"HandySplit","Clone editor ()","Ctrl+Alt+S, C","In Windows"
"Views","Show View (Project Explorer)","Alt+²","In Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
